item_id,date,steps
p03,2020-03-19,745.0
p03,2020-03-20,4182.0
p03,2020-03-21,1093.0
p03,2020-03-22,2763.0
p03,2020-03-23,2861.0
p03,2020-03-24,2084.0
p03,2020-03-25,17.0
p03,2020-03-26,1160.0
p03,2020-03-27,5906.0
p03,2020-03-28,5906.0
p03,2020-03-29,1233.0
p03,2020-03-30,475.0
p03,2020-03-31,1462.0
p04,2019-11-01,1462.0
p04,2019-11-02,1462.0
p04,2019-11-03,1462.0
p04,2019-11-04,1462.0
p04,2019-11-05,1462.0
p04,2019-11-06,9243.0
p04,2019-11-07,10246.0
p04,2019-11-08,11489.0
p04,2019-11-09,7587.0
p04,2019-11-10,4954.0
p04,2019-11-11,11076.0
p04,2019-11-12,18749.0
p04,2019-11-13,12890.0
p04,2019-11-14,11806.0
p04,2019-11-15,13614.0
p04,2019-11-16,10062.0
p04,2019-11-17,10886.0
p04,2019-11-18,13480.0
p04,2019-11-19,16346.0
p04,2019-11-20,9916.0
p04,2019-11-21,9199.0
p04,2019-11-22,10338.0
p04,2019-11-23,8119.0
p04,2019-11-24,12824.0
p04,2019-11-25,16500.0
p04,2019-11-26,15853.0
p04,2019-11-27,7519.0
p04,2019-11-28,13977.0
p04,2019-11-29,8448.0
p04,2019-11-30,9049.0
p04,2019-12-01,6495.0
p04,2019-12-02,16498.0
p04,2019-12-03,20814.0
p04,2019-12-04,6919.0
p04,2019-12-05,10548.0
p04,2019-12-06,10875.0
p04,2019-12-07,9356.0
p04,2019-12-08,4214.0
p04,2019-12-09,9211.0
p04,2019-12-10,12137.0
p04,2019-12-11,9436.0
p04,2019-12-12,14554.0
p04,2019-12-13,8490.0
p04,2019-12-14,15680.0
p04,2019-12-15,5326.0
p04,2019-12-16,13718.0
p04,2019-12-17,16487.0
p04,2019-12-18,8299.0
p04,2019-12-19,12453.0
p04,2019-12-20,10979.0
p04,2019-12-21,6260.0
p04,2019-12-22,7063.0
p04,2019-12-23,12278.0
p04,2019-12-24,9567.0
p04,2019-12-25,7881.0
p04,2019-12-26,16755.0
p04,2019-12-27,5958.0
p04,2019-12-28,5923.0
p04,2019-12-29,8812.0
p04,2019-12-30,8399.0
p04,2019-12-31,7255.0
p04,2020-01-01,1997.0
p04,2020-01-01,1997.0
p04,2020-01-02,11220.0
p04,2020-01-03,8927.0
p04,2020-01-04,5617.0
p04,2020-01-05,4805.0
p04,2020-01-06,9532.0
p04,2020-01-07,3502.0
p04,2020-01-08,16382.0
p04,2020-01-09,17713.0
p04,2020-01-10,12279.0
p04,2020-01-11,6161.0
p04,2020-01-12,12412.0
p04,2020-01-13,14609.0
p04,2020-01-14,14373.0
p04,2020-01-15,13663.0
p04,2020-01-16,8257.0
p04,2020-01-17,9938.0
p04,2020-01-18,11842.0
p04,2020-01-19,10161.0
p04,2020-01-20,13756.0
p04,2020-01-21,17981.0
p04,2020-01-22,7755.0
p04,2020-01-23,18826.0
p04,2020-01-24,15565.0
p04,2020-01-25,11832.0
p04,2020-01-26,8620.0
p04,2020-01-27,7617.0
p04,2020-01-28,14516.0
p04,2020-01-29,12458.0
p04,2020-01-30,5280.0
p04,2020-01-31,9493.0
p04,2020-02-01,18282.0
p04,2020-02-02,7367.0
