sedentary,LPA,MPA,VPA,steps,active
83328,2014,188,0,3668,0
83328,2014,188,0,3670,0
110794,1728,702,0,4404,0
123686,2046,1052,0,5632,1
91152,2880,934,0,7482,1
102812,1562,764,0,5161,1
102812,1562,764,0,5162,1
102812,1562,764,0,5161,1
102812,1562,764,0,5163,1
106726,3874,594,0,8236,2
133804,2894,1604,0,8181,2
136850,4160,2436,68,12523,4
134168,7124,764,0,13974,4
134196,5110,1428,0,11874,3
92106,3216,788,0,7206,1
67548,1330,44,0,2417,0
46800,1800,2476,1086,10648,3
139600,4934,2202,650,12278,3
84188,6692,2604,274,15608,4
77112,4262,1514,98,10014,3
78474,4940,1046,1184,10302,3
79688,5126,2954,792,15280,4
76900,2692,2908,1590,12300,3
80896,3864,1670,2672,13492,4
78732,4616,1470,1282,11284,3
75836,5662,1800,842,13284,4
71300,6704,1640,1100,14683,4
89752,8450,1270,486,15425,4
67816,3450,3668,420,13653,4
56404,3032,668,516,7687,2
56404,3032,668,516,7688,2
60350,8888,3292,2448,24138,4
153834,10266,4012,4736,29023,4
63948,5734,3410,600,16285,4
108468,4644,1988,428,11114,3
110442,3418,2500,1254,11246,3
73950,2818,2822,1370,11980,3
74152,5706,3648,798,17465,4
69998,4350,1074,576,10064,3
77844,2674,1954,790,9211,2
69490,7000,1878,510,14958,4
78670,4836,2574,0,12588,4
72812,5274,966,1102,10080,3
76804,3778,4022,660,13640,4
76804,3778,4022,660,13641,4
122532,4824,2972,1052,15742,4
75600,2196,110,0,4051,0
98366,3734,2506,230,10211,3
98024,6040,1752,46,13907,4
83286,6318,1654,1378,16102,4
107038,6150,2200,576,15236,4
70588,6054,2684,1140,16761,4
75546,2472,1254,534,6737,1
72408,4538,3622,1260,16331,4
74388,5584,2772,388,14163,4
78766,5284,646,0,8736,2
73890,2950,4530,582,14364,4
48672,1534,1216,718,6251,1
48672,1534,1216,718,6252,1
48672,1534,1216,718,6251,1
48672,1534,1216,718,6254,1
48672,1534,1216,718,6252,1
48672,1534,1216,718,6251,1
48672,1534,1216,718,6250,1
48672,1534,1216,718,6251,1
48672,1534,1216,718,6252,1
145062,6622,1772,4600,21957,4
165836,7954,2714,3708,21576,4
146436,8850,2520,804,19098,4
77992,3364,2936,0,9992,2
88472,3650,910,636,7676,2
75144,2810,3160,760,12311,3
66290,3976,2898,2016,16025,4
73402,2332,394,96,4890,0
76404,4072,354,0,6970,1
74190,7410,2338,718,16422,4
81504,2654,1290,0,5989,1
79616,3290,2612,780,11714,3
72830,4640,2890,540,13923,4
92064,8198,250,0,13945,4
92064,8198,250,0,13946,4
92064,8198,250,0,13945,4
92064,8198,250,0,13947,4
92064,8198,250,0,13946,4
92064,8198,250,0,13948,4
92064,8198,250,0,13945,4
92064,8198,250,0,13944,4
123828,7660,1742,956,12246,3
106820,9150,2530,1072,16305,4
96672,8286,1150,910,12900,4
80680,7392,2578,930,13235,4
98520,7206,2616,650,13283,4
75114,5308,1558,668,10019,3
72362,5316,1626,862,10204,3
77608,3372,1282,420,6751,1
80650,5620,960,816,11464,3
80650,5620,960,816,11466,3
80650,5620,960,816,11465,3
80650,5620,960,816,11464,3
83466,6554,1140,480,11923,3
108668,12504,3344,784,22647,4
145842,10178,2860,1080,18489,4
131032,11170,1892,908,22756,4
119638,23510,6440,0,37789,4
123062,6572,48,0,9206,2
97706,7772,3004,0,14481,4
82328,3934,862,516,7331,1
75390,4664,750,240,7619,2
80264,5820,1956,204,9114,2
80526,5776,920,744,9768,2
80526,5776,920,744,9769,2
62072,1912,382,0,3144,0
3172,956,0,0,779,0
20078,9734,1918,386,12723,4
20270,11766,1980,0,12921,4
20270,11766,1980,0,12924,4
16076,3186,376,0,4534,0
16236,5360,240,0,4477,0
22400,4280,1156,180,7251,1
22380,6856,508,0,5569,1
21450,4176,1060,1564,11105,3
14538,4570,1308,538,7908,2
24106,3972,604,398,7382,1
21916,4340,96,0,5641,1
16710,6710,174,294,3441,0
4374,126,0,0,591,0
3478,860,470,100,2200,0
3478,860,470,98,2129,0
38860,6752,1210,454,12623,4
26796,5174,3008,6328,21062,4
10170,2152,112,0,2334,0
34898,3784,3478,4532,20734,4
9990,1324,344,210,4728,0
16070,4258,1002,44,7942,2
32930,5310,2814,1758,16229,4
21858,7768,1452,368,10776,3
24606,5236,1850,2440,12768,4
26094,6338,1704,294,12367,3
21116,8112,990,0,8324,2
25836,4414,5080,3896,19646,4
28964,6856,1392,1260,14222,4
17340,3736,732,0,5948,1
3568,418,172,0,610,0
81696,3762,0,0,6436,1
94632,7262,758,300,12091,3
79278,5178,540,240,9357,2
72278,4538,684,0,7982,2
77220,5104,520,360,10263,3
77220,5105,480,420,10265,3
30600,588,180,0,966,0
77328,8976,1589,910,15784,4
82554,4928,817,1705,11360,3
80176,5892,0,0,10581,3
80884,3708,1670,984,10234,3
81902,3190,0,0,5450,1
32164,5168,540,300,8243,2
78706,3722,0,0,6325,1
83842,2164,1430,180,6478,1
83840,2168,1440,160,6480,1
75898,4684,0,0,8358,2
72294,11134,1570,540,18438,4
130504,8768,1776,204,21817,4
74366,9562,1400,480,15504,4
40818,1318,300,0,2182,0
82900,2502,1532,504,7222,1
82484,3824,1089,0,7040,1
32626,752,240,0,1154,0
56858,3582,1756,0,7680,2
45996,1662,360,120,2759,0
82162,4088,1200,180,6352,1
82901,2504,1534,502,7225,1
82905,2508,1539,500,7250,1
77658,4084,1636,712,10194,3
83225,2889,907,705,7788,2
12014,394,0,0,661,0
73580,7032,1500,180,12339,3
62276,2184,10,0,3723,0
59228,5954,500,120,9307,2
66260,6716,800,60,12002,3
68970,8852,1250,120,15266,4
75410,8466,2200,500,14302,4
70588,9878,2578,930,16761,4
75546,4260,1898,600,6737,1
72408,9420,1578,360,16331,4
74388,8744,2508,938,14163,4
71300,9444,2530,1072,14683,4
65404,10098,2378,1029,15176,4
81198,2558,567,0,5031,1
56404,4216,610,0,7687,2
29190,6888,1700,900,11136,3
75998,8496,1045,420,13022,4
60910,9426,1150,910,15780,4
79104,6054,1140,480,9261,2
72900,6216,910,240,9688,2
70652,5896,850,300,9882,2
63650,9110,1240,600,15496,4
69998,6000,950,600,10064,3
77844,5418,630,240,9211,2
69490,9388,2860,1080,14958,4
52604,1864,1282,420,3151,0
52606,1867,1292,430,3161,0
52604,1865,1284,422,3151,0
76804,8460,1240,1020,13640,4
73890,8062,1190,920,14364,4
24396,5476,632,152,6573,1
33966,6616,3238,1258,16676,4
24978,7942,700,0,8903,2
25952,4040,1554,420,8487,2
28052,7906,1782,1042,12401,3
32814,7974,1730,1668,15279,4
32328,6228,3354,1008,15338,4
28974,7492,922,1164,11536,3
24938,4126,1346,1116,9597,2
29276,6380,548,0,7760,2
27510,7414,782,1378,10740,3
24320,7086,912,1186,8911,2
24618,4858,776,1280,10021,3
30760,6826,784,594,9129,2
10356,3696,294,0,2661,0
28076,13626,2316,1998,16345,4
24202,7472,880,572,9466,2
22860,4876,562,862,8137,2
16888,1380,1412,970,6947,1
26750,3940,1842,650,9317,2
23670,9324,2572,244,14922,4
29068,5620,1514,98,9668,2
24956,7146,884,768,8891,2
21152,8522,2764,602,13458,4
21922,3716,2908,1314,12250,3
28958,4386,1510,2436,12612,4
23094,6978,1434,1074,10886,3
27374,6438,1800,722,13216,4
33340,9042,1640,980,14652,4
27594,13718,1270,388,15114,4
9736,2624,848,288,5025,1
13768,7686,668,406,7671,2
12934,8088,1636,1150,11031,3
25162,5606,1828,1658,12954,4
17022,14056,3372,480,15714,4
25826,4534,1832,428,9217,2
18700,5426,2318,1068,9659,2
19324,8632,1048,850,9869,2
17834,9380,3518,364,15447,4
22348,7204,1074,492,10048,3
24406,4106,1954,790,9148,2
28292,10440,1878,438,14910,4
13450,1708,402,0,3123,0
20272,4306,4022,588,13609,4
20272,4306,4022,588,13611,4
26566,4462,2456,680,12286,3
14970,6642,110,0,3688,0
17974,9280,2418,230,9274,2
27706,9446,1664,46,11934,3
20190,9730,1654,1106,15236,4
31276,6538,2170,472,14244,4
25654,7026,2684,1024,16732,4
12716,3752,1254,534,6711,1
20060,6760,3680,1020,16153,4
31504,6814,2772,388,14069,4
17516,4080,4590,582,14324,4
12390,2562,1216,708,6233,1
18748,4518,850,2082,10796,3
20874,6586,1274,1738,10266,3
27110,7182,1186,402,9334,2
15652,5492,2766,0,9496,2
18650,4282,858,592,6570,1
24864,4332,3220,760,12279,3
16302,9756,2958,1528,15766,4
20518,6028,394,96,4826,0
24842,5998,354,0,6943,1
33498,8294,2338,718,16359,4
18428,3142,1290,0,5977,1
19420,3346,2612,780,11671,3
